fund_name,company,id,createdAtMicro,amount,currency,date,executionDate,extraInfo,fund,investment,elementId,elementType,name,subtype,type,isCalculated,data.name,data.date,data.type,data.subtype3,data.amount,data.currency,data.name_quarterly,data.hidden,data.docs_ronda,data.subtype,data.reported_value,data.convertible_floor,data.convertible_cap,data.convertible_descuento,data.convertible_interest,data.capitalization,data.marca_valor,data.pps,data.premoney,data.importe_ronda,data.shares,data.company_shares,data.company_shares_fd,data.follow_on,data.nombre_ronda,data.notas,data.exchange_rate,data.divestment_treatment,data.subtype1,data.position_to_convert,data.subtype5,data.capitalizacion,data.fecha_madurez,data.subtype2,data.escrow_type,data.escrow_date,data.fecha_escrow_update,data.justificacion_valoracion,data.escrow_milestone
Fund II,21 Buttons,IqxOgowBubVKhabYHFHe,2023-12-19T13:40:00+00:00,1299995.85,EUR,2017-07-27T00:00:00+00:00,2024-07-22 00:00:00,[],qxsDposBzWTQuO_KVE_Q,qRtKgowBzWTQuO_KklhB,qRtKgowBzWTQuO_KklhB,portfolio,Participaciones - Ronda 2,primary,investment,True,Participaciones - Ronda 2,2017-07-27T00:00:00+00:00,investment,,1299995.85,EUR,,,,primary,22949681,,,,,No,TRUE,11.9387,,8949681.44,98859,1922286,1922286,Initial,Series A,,,,,,,0,,,,,,,
Fund II,21 Buttons,I6xOgowBubVKhabYHFHj,2023-12-19T13:40:00+00:00,1510423.53,EUR,2018-06-21T00:00:00+00:00,2024-07-22 00:00:00,[],qxsDposBzWTQuO_KVE_Q,qRtKgowBzWTQuO_KklhB,qRtKgowBzWTQuO_KklhB,portfolio,Inversión - Follow-on - Ronda 3,primary,investment,True,Inversión - Follow-on - Ronda 3,2018-06-21T00:00:00+00:00,investment,,1510423.53,EUR,,,,primary,,,,,,No,TRUE,22.33,,15405670.69,67641,2299721,2299721,Follow On,Series B,,,,,,,0,,,,,,,
Fund II,21 Buttons,JKxOgowBubVKhabYHFHn,2023-12-19T13:40:00+00:00,528263.08,EUR,2018-06-22T00:00:00+00:00,2024-07-22 00:00:00,[],qxsDposBzWTQuO_KVE_Q,qRtKgowBzWTQuO_KklhB,qRtKgowBzWTQuO_KklhB,portfolio,Inversión - Compraventa - No Ronda,primary,investment,True,Inversión - Compraventa - No Ronda,2018-06-22T00:00:00+00:00,investment,,528263.08,EUR,,,,primary,,,,,,No,FALSE,19.0919,,,29578,0,0,Sale,Secondary,,,,,,,0,,,,,,,
Fund II,21 Buttons,JaxOgowBubVKhabYHFHp,2023-12-19T13:40:00+00:00,0,EUR,2020-12-31T00:00:00+00:00,2024-07-22 00:00:00,[],qxsDposBzWTQuO_KVE_Q,qRtKgowBzWTQuO_KklhB,qRtKgowBzWTQuO_KklhB,portfolio,Write-off - Venta,cash,full_divestment,True,Write-off - Venta,2020-12-31T00:00:00+00:00,full_divestment,,0,EUR,,,,,,,,,,,,0,,,196078,0,0,,Write-Off,,,,,,,0,,cash,,,,,
Fund II,Aerial Technologies,J6xOgowBubVKhabYHVEM,2023-12-19T13:40:00+00:00,327000,CAD,2017-06-21T00:00:00+00:00,2024-01-25 00:00:00,[],qxsDposBzWTQuO_KVE_Q,qhtKgowBzWTQuO_KklhB,qhtKgowBzWTQuO_KklhB,portfolio,Inversión - Inicial - No Ronda 1,convertible_notes,investment,True,Inversión - Inicial - No Ronda 1,2017-06-21T00:00:00+00:00,investment,,327000,Canadian dollar,,,,convertible_notes,,,,,,,,,,0,0,,,Initial,Convertible,,0.683900979,,,,,0,1706176569,,,,,,
Fund II,Aerial Technologies,KKxOgowBubVKhabYHVEP,2023-12-19T13:40:00+00:00,218000,CAD,2017-11-07T00:00:00+00:00,2024-07-08 00:00:00,[],qxsDposBzWTQuO_KVE_Q,qhtKgowBzWTQuO_KklhB,qhtKgowBzWTQuO_KklhB,portfolio,Inversión - Inicial - No Ronda 2,convertible_notes,investment,True,Inversión - Inicial - No Ronda 2,2017-11-07T00:00:00+00:00,investment,,218000,CAD,,,,convertible_notes,,,,,,,,,,,,,,Initial,Convertible,,0.687049128,,,,,0,,,,,,,
Fund II,Aerial Technologies,KqxOgowBubVKhabYHVEu,2023-12-19T13:40:00+00:00,0,CAD,2018-01-26T00:00:00+00:00,2024-01-25 00:00:00,[],qxsDposBzWTQuO_KVE_Q,qhtKgowBzWTQuO_KklhB,qhtKgowBzWTQuO_KklhB,portfolio,Inversión - Follow-on - Ronda 1,primary,investment,True,Inversión - Follow-on - Ronda 1,2018-01-26T00:00:00+00:00,investment,,0,Canadian dollar,,,,primary,11685115,,,,,Yes,FALSE,0,,,52420.11754,0,0,Follow On,Capitalizacion Convertible,,0.652528759,,,Inversión - Inicial - No Ronda (Investment - Convertible notes),,1,,,,,,,
Fund II,Aerial Technologies,KaxOgowBubVKhabYHVES,2023-12-19T13:40:00+00:00,0,CAD,2018-01-26T00:00:00+00:00,2024-01-25 00:00:00,[],qxsDposBzWTQuO_KVE_Q,qhtKgowBzWTQuO_KklhB,qhtKgowBzWTQuO_KklhB,portfolio,Inversión - Follow-on - Ronda 1,primary,investment,True,Inversión - Follow-on - Ronda 1,2018-01-26T00:00:00+00:00,investment,,0,Canadian dollar,,,,primary,,,,,,Yes,FALSE,4.6159,,1991748.8,78269.88246,2531489,2531489,Follow On,Capitalizacion Convertible,,0.652528759,,,Inversión - Inicial - No Ronda (Investment - Convertible notes),,1,,,,,,,
Fund II,Aerial Technologies,K6xOgowBubVKhabYHVEx,2023-12-19T13:40:00+00:00,559992.2,USD,2018-01-27T00:00:00+00:00,2024-07-03 00:00:00,[],qxsDposBzWTQuO_KVE_Q,qhtKgowBzWTQuO_KklhB,qhtKgowBzWTQuO_KklhB,portfolio,Inversión - Follow-on - Ronda 1,primary,investment,True,Inversión - Follow-on - Ronda 1,2018-01-27T00:00:00+00:00,investment,,559992.2,Dollar,,,,primary,16040635,,,,,No,TRUE,7.87999073,,1991748.8,71065,2531489,2531489,Follow On,Seed Round,,0.818866691,,,,,0,,,,,,,
Fund II,Aerial Technologies,LKxOgowBubVKhabYHVE1,2023-12-19T13:40:00+00:00,373803.56,CAD,2018-10-24T00:00:00+00:00,2024-07-22 00:00:00,[],qxsDposBzWTQuO_KVE_Q,qhtKgowBzWTQuO_KklhB,qhtKgowBzWTQuO_KklhB,portfolio,Inversión - Follow-on - Ronda 2,primary,investment,True,Inversión - Follow-on - Ronda 2,2018-10-24T00:00:00+00:00,Inversión,,373803.56,Canadian dollar,,No,[],Primario,19954892,,,,,No,Si,7.8800001,19948133.32,2999994.8,47437,2912199,2912199,Follow On,Seed Extension,,0.886446239,,,,,0,,,,,,,
